symbol,year,or_start,or_window,final_balance
EURUSDm,2024,6,15,10074.68
EURUSDm,2024,6,30,10826.05
EURUSDm,2024,6,60,9174.56
EURUSDm,2024,7,15,8353.54
EURUSDm,2024,7,30,9370.64
EURUSDm,2024,7,60,8653.11
EURUSDm,2024,8,15,7945.76
EURUSDm,2024,8,30,8330.16
EURUSDm,2024,8,60,9674.02
EURUSDm,2024,9,15,9608.66
EURUSDm,2024,9,30,9259.85
EURUSDm,2024,9,60,10059.41
EURUSDm,2024,10,15,8785.23
EURUSDm,2024,10,30,9635.46
EURUSDm,2024,10,60,8964.14
EURUSDm,2024,11,15,7539.45
EURUSDm,2024,11,30,7084.24
EURUSDm,2024,11,60,8575.63
EURUSDm,2024,12,15,6955.14
EURUSDm,2024,12,30,8026.52
EURUSDm,2024,12,60,9227.15
EURUSDm,2024,13,15,7944.74
EURUSDm,2024,13,30,8355.39
EURUSDm,2024,13,60,9287.73
EURUSDm,2024,14,15,9278.26
EURUSDm,2024,14,30,10051.15
EURUSDm,2024,14,60,9797.49
EURUSDm,2024,15,15,10404.75
EURUSDm,2024,15,30,9841.42
EURUSDm,2024,15,60,10278.91
EURUSDm,2024,16,15,8918.57
EURUSDm,2024,16,30,8817.39
EURUSDm,2024,16,60,9722.07
USDJPYm,2024,6,15,9943.25
USDJPYm,2024,6,30,10193.51
USDJPYm,2024,6,60,9588.31
USDJPYm,2024,7,15,10742.31
USDJPYm,2024,7,30,10180.20
USDJPYm,2024,7,60,11330.21
USDJPYm,2024,8,15,10115.85
USDJPYm,2024,8,30,10358.50
USDJPYm,2024,8,60,10071.69
USDJPYm,2024,9,15,11237.45
USDJPYm,2024,9,30,10899.24
USDJPYm,2024,9,60,12481.28
USDJPYm,2024,10,15,10207.53
USDJPYm,2024,10,30,9265.14
USDJPYm,2024,10,60,9732.20
USDJPYm,2024,11,15,10049.35
USDJPYm,2024,11,30,9518.38
USDJPYm,2024,11,60,9136.79
USDJPYm,2024,12,15,10684.27
USDJPYm,2024,12,30,9870.43
USDJPYm,2024,12,60,9393.37
USDJPYm,2024,13,15,11717.47
USDJPYm,2024,13,30,11001.33
USDJPYm,2024,13,60,10244.94
USDJPYm,2024,14,15,8600.18
USDJPYm,2024,14,30,9182.00
USDJPYm,2024,14,60,9737.78
USDJPYm,2024,15,15,10446.39
USDJPYm,2024,15,30,10654.24
USDJPYm,2024,15,60,10064.12
USDJPYm,2024,16,15,8326.91
USDJPYm,2024,16,30,8955.74
USDJPYm,2024,16,60,9621.41
XAUUSDm,2024,6,15,9820.49
XAUUSDm,2024,6,30,10133.34
XAUUSDm,2024,6,60,10915.42
XAUUSDm,2024,7,15,9935.03
XAUUSDm,2024,7,30,9140.96
XAUUSDm,2024,7,60,8661.58
XAUUSDm,2024,8,15,7566.66
XAUUSDm,2024,8,30,8784.60
XAUUSDm,2024,8,60,9247.16
XAUUSDm,2024,9,15,11046.44
XAUUSDm,2024,9,30,10332.55
XAUUSDm,2024,9,60,10173.25
XAUUSDm,2024,10,15,10416.66
XAUUSDm,2024,10,30,10439.97
XAUUSDm,2024,10,60,10889.00
XAUUSDm,2024,11,15,8545.06
XAUUSDm,2024,11,30,7898.01
XAUUSDm,2024,11,60,9496.00
XAUUSDm,2024,12,15,12374.78
XAUUSDm,2024,12,30,13228.88
XAUUSDm,2024,12,60,10785.49
XAUUSDm,2024,13,15,12495.50
XAUUSDm,2024,13,30,11394.99
XAUUSDm,2024,13,60,10774.52
XAUUSDm,2024,14,15,10235.05
XAUUSDm,2024,14,30,10791.70
XAUUSDm,2024,14,60,9733.94
XAUUSDm,2024,15,15,11245.59
XAUUSDm,2024,15,30,10171.76
XAUUSDm,2024,15,60,10049.37
XAUUSDm,2024,16,15,9482.41
XAUUSDm,2024,16,30,9857.68
XAUUSDm,2024,16,60,9395.52
