symbol,year,or_start,or_window,final_balance
EURUSDm,2025,6,15,9798.35
EURUSDm,2025,6,30,10449.42
EURUSDm,2025,6,60,10356.48
EURUSDm,2025,7,15,12232.40
EURUSDm,2025,7,30,11536.15
EURUSDm,2025,7,60,10430.45
EURUSDm,2025,15,15,8719.43
EURUSDm,2025,15,30,9570.78
EURUSDm,2025,15,60,10616.66
USDJPYm,2025,8,15,8961.58
USDJPYm,2025,8,30,11960.53
USDJPYm,2025,8,60,10343.80
USDJPYm,2025,9,15,9498.50
USDJPYm,2025,9,30,10879.11
USDJPYm,2025,9,60,10358.32
USDJPYm,2025,10,15,8039.74
USDJPYm,2025,10,30,9478.52
USDJPYm,2025,10,60,11184.46
USDJPYm,2025,13,15,8048.57
USDJPYm,2025,13,30,9956.56
USDJPYm,2025,13,60,9531.40
XAUUSDm,2025,11,15,8450.83
XAUUSDm,2025,11,30,11141.39
XAUUSDm,2025,11,60,9843.39
XAUUSDm,2025,12,15,11543.14
XAUUSDm,2025,12,30,10068.90
XAUUSDm,2025,12,60,10803.39
XAUUSDm,2025,13,15,10097.76
XAUUSDm,2025,13,30,11651.24
XAUUSDm,2025,13,60,10761.59
